1,Cooking Gear,TrailChef Deluxe Cook Set,489,10,200,0
2,Cooking Gear,TrailChef Double Flame,252,11,106,0
3,Tents,Star Dome,147,50,100,0
4,Tents,Star Gazer 2,303,30,370,0
5,Beers,Blue Moon,333,10,10,1
6,Eyewear,Polar Sun,116,15,200,0
7,Watches,Mountain Man Analog,592,10,125,0
8,Knives,Bear Survival Edge,150,30,23.25,0
9,Binoculars,Seeker 50,686,5,42.21,0
10,Navigation,Glacier GPS,351,10,100.99,0
11,First Aid,Aloe Relief,572,0,36.45,0
12,Golf Accessories,Course Pro Umbrella,3890,0,15.22,0
13,Eyewear,Polar Sports,23,0,90.97,0
14,Sleeping Bags,Hibernator,456,10,169.95,0
15,Binoculars,Seeker Mini,189,0,125.21,0
16,Irons,Hailstorm Titanium Irons,46,30,234.99,0
17,Safety,Husky Harness,280,30,27.98,0
18,Tools,Granite Axe,747,0,39.96,0
19,Insect Repellents,BugShield Extreme,865,0,4.98,0
20,Putters,Blue Steel Max Putter,423,25,99.99,0
